Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
         7169953 function calls (6812947 primitive calls) in 46.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13091    0.033    0.000    0.033    0.000 {built-in method builtins.iter}
     3804    0.033    0.000    0.160    0.000 fromnumeric.py:2105(sum)
     1615    0.033    0.000    0.073    0.000 inspect.py:2732(__init__)
3525/1572    0.033    0.000    5.572    0.004 <frozen importlib._bootstrap>:997(_handle_fromlist)
    11703    0.032    0.000    0.032    0.000 util.py:404(__getitem__)
     3094    0.032    0.000    0.121    0.000 castep.py:530(_read_entry)
1697/1198    0.032    0.000    0.336    0.000 inspect.py:2183(_signature_from_callable)
    10812    0.032    0.000    0.032    0.000 {method 'expandtabs' of 'str' objects}
    12274    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    10130    0.031    0.000    0.031    0.000 einsumfunc.py:989(_einsum_dispatcher)
  606/224    0.031    0.000    0.776    0.003 sre_parse.py:407(_parse_sub)
        1    0.031    0.031    1.725    1.725 registry.py:593(_build_cache)
     3804    0.030    0.000    0.220    0.000 <__array_function__ internals>:2(sum)
     2660    0.030    0.000    0.083    0.000 enum.py:803(__and__)
    10995    0.029    0.000    0.029    0.000 {method 'get' of 'dict' objects}
     8174    0.028    0.000    0.028    0.000 {method 'splitlines' of 'str' objects}
      422    0.028    0.000    0.043    0.000 sre_compile.py:250(_optimize_charset)
     4028    0.028    0.000    0.313    0.000 compat.py:29(tokenizer)
     9576    0.028    0.000    0.034    0.000 enum.py:517(__new__)
     5703    0.028    0.000    0.042    0.000 util.py:401(__len__)
     9276    0.027    0.000    0.027    0.000 {method 'read' of '_io.BufferedReader' objects}
     9254    0.027    0.000    0.027    0.000 {method 'replace' of 'str' objects}
     4749    0.026    0.000    0.050    0.000 util.py:646(__hash__)
     7345    0.026    0.000    0.047    0.000 _collections_abc.py:719(__iter__)
      635    0.026    0.000    0.116    0.000 util.py:766(string_preprocessor)
        1    0.026    0.026    0.026    0.026 _cm_listed.py:1(<module>)
2780/2720    0.025    0.000    0.042    0.000 typing.py:1164(__setattr__)
     1518    0.025    0.000    0.051    0.000 posixpath.py:75(join)
     9104    0.024    0.000    0.024    0.000 {method 'endswith' of 'str' objects}
      355    0.024    0.000    0.196    0.001 _util.py:299(getfullargspec_no_self)
      758    0.024    0.000    0.109    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     3039    0.024    0.000    0.049    0.000 <__array_function__ internals>:2(where)
     1268    0.024    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     5603    0.024    0.000    0.034    0.000 sre_parse.py:248(match)
     3077    0.023    0.000    0.023    0.000 {built-in method posix.stat}
     7597    0.023    0.000    0.023    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     4876    0.022    0.000    0.031    0.000 inspect.py:2781(<genexpr>)
     7747    0.022    0.000    0.023    0.000 {built-in method builtins.setattr}
     3089    0.022    0.000    0.058    0.000 __init__.py:894(__contains__)
  788/787    0.021    0.000    0.356    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1000    0.020    0.000    0.394    0.000 registry.py:793(_get_root_units)
      343    0.020    0.000    0.093    0.000 abc.py:132(__new__)
     5007    0.020    0.000    0.020    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      614    0.020    0.000    0.718    0.001 util.py:587(from_string)
      210    0.019    0.000    0.178    0.001 typing.py:922(__new__)
     2387    0.019    0.000    0.541    0.000 inspect.py:595(getdoc)
     1152    0.019    0.000    0.387    0.000 registry.py:698(_get_dimensionality)
     7951    0.019    0.000    0.019    0.000 inspect.py:2514(kind)
    808/4    0.019    0.000    9.204    2.301 <frozen importlib._bootstrap>:966(_find_and_load)
     4210    0.019    0.000    1.531    0.000 re.py:286(_compile)
     1657    0.019    0.000    0.056    0.000 _weakrefset.py:58(__iter__)
     2292    0.019    0.000    0.093    0.000 util.py:660(__eq__)
      752    0.019    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     6711    0.019    0.000    0.019    0.000 {method 'rpartition' of 'str' objects}
     2714    0.018    0.000    0.028    0.000 util.py:185(is_consecutive)
     7317    0.018    0.000    0.018    0.000 {method 'add' of 'set' objects}
        4    0.018    0.005    0.035    0.009 codata.py:1498(parse_constants_2002to2014)
    758/4    0.018    0.000    9.199    2.300 <frozen importlib._bootstrap>:651(_load_unlocked)
      634    0.018    0.000    0.225    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      350    0.018    0.000    0.018    0.000 {built-in method builtins.compile}
      270    0.017    0.000    0.074    0.000 typing.py:613(_remove_dups_flatten)
     6704    0.017    0.000    0.017    0.000 util.py:784(_is_dim)
       12    0.017    0.001    0.289    0.024 artist.py:1337(get_setters)
     3191    0.017    0.000    0.026    0.000 <frozen importlib._bootstrap>:847(__exit__)
  242/172    0.017    0.000    0.104    0.001 posixpath.py:400(_joinrealpath)
     3054    0.017    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     6832    0.017    0.000    0.017    0.000 inspect.py:2502(name)
     3191    0.017    0.000    0.025    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1339    0.017    0.000    0.036    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     6191    0.016    0.000    0.016    0.000 {built-in method _struct.unpack}
     5101    0.016    0.000    0.018    0.000 re.py:324(_subx)
     6178    0.016    0.000    0.016    0.000 __init__.py:895(<genexpr>)
     1190    0.016    0.000    0.863    0.001 registry.py:1052(_dedup_candidates)
     2474    0.016    0.000    0.187    0.000 util.py:536(__init__)
 1943/635    0.016    0.000    0.195    0.000 pint_eval.py:67(evaluate)
     6141    0.016    0.000    0.016    0.000 {method 'isidentifier' of 'str' objects}
     2612    0.015    0.000    0.023    0.000 posixpath.py:41(_get_sep)
     5332    0.015    0.000    0.016    0.000 {built-in method posix.fspath}
      488    0.015    0.000    0.035    0.000 definitions.py:44(from_string)
     5342    0.015    0.000    0.015    0.000 {built-in method _imp.acquire_lock}
    802/4    0.015    0.000    9.204    2.301 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     5342    0.014    0.000    0.014    0.000 {built-in method _imp.release_lock}
     1376    0.014    0.000    0.025    0.000 threadpoolctl.py:733(_check_prefix)
       28    0.014    0.001    0.047    0.002 util.py:182(_collapse_string_to_ranges)
      634    0.014    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
3651/2166    0.014    0.000    0.141    0.000 {built-in method builtins.issubclass}
       14    0.014    0.001    0.172    0.012 arraysetops.py:309(_unique1d)
     1067    0.014    0.000    0.038    0.000 registry.py:474(_define_single_adder)
     1990    0.014    0.000    0.641    0.000 <__array_function__ internals>:2(einsum)
     1747    0.013    0.000    0.358    0.000 artist.py:1356(is_alias)
     2685    0.013    0.000    0.020    0.000 inspect.py:159(isfunction)
      343    0.013    0.000    0.028    0.000 abc.py:135(<setcomp>)
       14    0.013    0.001   10.240    0.731 numpy_func.py:281(implementation)
     1099    0.013    0.000    0.030    0.000 inspect.py:485(unwrap)
     1586    0.013    0.000    0.021    0.000 _weakrefset.py:26(__exit__)
     1406    0.013    0.000    0.025    0.000 posixpath.py:168(islink)
     3410    0.012    0.000    0.012    0.000 {method 'format' of 'str' objects}
       12    0.012    0.001    0.025    0.002 artist.py:1273(<listcomp>)
     2225    0.012    0.000    0.022    0.000 _collections_abc.py:742(__iter__)
     1835    0.012    0.000    0.144    0.000 util.py:540(from_word)
       17    0.012    0.001    0.037    0.002 registry.py:949(_convert)
     4692    0.012    0.000    0.012    0.000 {method 'pop' of 'dict' objects}
     2360    0.012    0.000    0.018    0.000 sre_parse.py:159(__len__)
        1    0.012    0.012   46.317   46.317 interpolate_profile.py:1(<module>)
     2554    0.012    0.000    0.012    0.000 {built-in method builtins.chr}
     2293    0.012    0.000    0.027    0.000 _collections_abc.py:501(<genexpr>)
     1990    0.012    0.000    0.550    0.000 einsumfunc.py:997(einsum)
      634    0.012    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     2203    0.011    0.000    1.379    0.001 re.py:231(compile)
      643    0.011    0.000    0.021    0.000 util.py:973(__next__)
     1575    0.011    0.000    0.035    0.000 typing.py:646(<genexpr>)
     3849    0.011    0.000    0.011    0.000 fromnumeric.py:71(<dictcomp>)
      393    0.011    0.000    0.525    0.001 definitions.py:235(from_string)
  758/755    0.011    0.000    0.197    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     3673    0.011    0.000    0.011    0.000 sre_parse.py:111(__init__)
     1394    0.011    0.000    0.029    0.000 re.py:169(match)
     2059    0.011    0.000    0.114    0.000 tokenize.py:152(_compile)
        1    0.011    0.011    0.118    0.118 __init__.py:58(<module>)
      710    0.011    0.000    0.021    0.000 typing.py:354(_type_check)
     1268    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1190    0.011    0.000    0.840    0.001 {built-in method fromkeys}
     2018    0.010    0.000    0.015    0.000 sre_parse.py:285(tell)
      425    0.010    0.000    0.274    0.001 artist.py:1290(get_valid_values)
     4352    0.010    0.000    0.010    0.000 {built-in method builtins.callable}
      127    0.010    0.000    0.056    0.000 inspect.py:1089(getfullargspec)
     1870    0.010    0.000    0.015    0.000 _collections_abc.py:672(keys)
        2    0.010    0.005    0.010    0.005 {built-in method _posixsubprocess.fork_exec}
      636    0.010    0.000    0.028    0.000 tokenize.py:355(detect_encoding)
     3834    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
     1339    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap>:78(acquire)
      370    0.010    0.000    0.047    0.000 colors.py:197(_to_rgba_no_colorcycle)
      634    0.010    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
 1152/503    0.010    0.000    0.052    0.000 typing.py:553(_replace_arg)
