use_brille=False
         38579640 function calls (38556996 primitive calls) in 6153.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.026    0.026    1.459    1.459 c:\users\mll13652\documents\pace_project\euphonic\euphonic\cli\utils.py:354(_get_debye_waller)
        1    0.774    0.774    1.427    1.427 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:948(_dipole_correction_init)
     9266    0.019    0.000    1.306    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\nonmultiplicative\registry.py:165(_convert)
      124    0.002    0.000    1.184    0.010 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_frequencies.py:77(frequencies)
     9266    0.925    0.000    1.139    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\registry.py:913(_convert)
        1    0.540    0.540    1.034    1.034 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:1564(_calculate_supercell_images)
   933606    1.001    0.000    1.001    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:110(_square_to_spherical_polar)
     1579    0.826    0.001    0.826    0.001 {method 'repeat' of 'numpy.ndarray' objects}
      242    0.008    0.000    0.698    0.003 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_frequencies.py:37(__init__)
      120    0.003    0.000    0.697    0.006 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:44(__init__)
    11912    0.014    0.000    0.653    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:94(wrapped)
      120    0.015    0.000    0.652    0.005 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:250(<listcomp>)
    11425    0.008    0.000    0.616    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:81(wrapped)
    11425    0.051    0.000    0.608    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:1050(_mul_div)
9605843/9604478    0.597    0.000    0.603    0.000 {built-in method builtins.hasattr}
   933726    0.560    0.000    0.560    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:18(golden_square)
    51008    0.022    0.000    0.548    0.000 <__array_function__ internals>:177(sum)
