         6072118 function calls (6071339 primitive calls) in 19.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.041    0.001    0.046    0.001 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\registry.py:913(_convert)
        7    0.000    0.000    0.038    0.005 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_frequencies.py:37(__init__)
     3927    0.002    0.000    0.034    0.000 <__array_function__ internals>:177(sum)
        1    0.015    0.015    0.033    0.033 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:948(_dipole_correction_init)
      672    0.002    0.000    0.032    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:680(_make_controller_from_path)
     3927    0.003    0.000    0.030    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\fromnumeric.py:2162(sum)
     3943    0.003    0.000    0.026    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        4    0.019    0.005    0.025    0.006 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:1232(_get_q_dirs)
      168    0.000    0.000    0.023    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:124(_realpath)
      168    0.001    0.000    0.023    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\ntpath.py:625(realpath)
     3962    0.021    0.000    0.021    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      336    0.020    0.000    0.020    0.000 {built-in method nt._getfinalpathname}
        1    0.000    0.000    0.020    0.020 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:1816(from_castep)
        4    0.000    0.000    0.017    0.004 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:43(__init__)
        1    0.002    0.002    0.017    0.017 c:\users\mll13652\documents\pace_project\euphonic\euphonic\readers\castep.py:359(read_interpolation_data)
        1    0.001    0.001    0.016    0.016 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:296(calculate_debye_waller)
        1    0.000    0.000    0.015    0.015 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:44(__init__)
     3189    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(where)
      245    0.006    0.000    0.010    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\util.py:57(is_gamma)
     3094    0.002    0.000    0.009    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\readers\castep.py:557(_read_entry)
      4/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
      4/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.008    0.008 c:\users\mll13652\documents\pace_project\euphonic\euphonic\util.py:172(get_reference_data)
      7/4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      4/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
       36    0.000    0.000    0.007    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\registry.py:1211(parse_expression)
        7    0.000    0.000    0.005    0.001 c:\users\mll13652\documents\pace_project\euphonic\euphonic\crystal.py:106(reciprocal_cell)
