ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 1.8816308023672557 mb/meV
Saved plot to C:\Users\mll13652\Documents\TCP Group\PACE Project\brille-performance\profile_scripts\tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 40.89079442621774 mb/meV
Saved plot to C:\Users\mll13652\Documents\TCP Group\PACE Project\brille-performance\profile_scripts\tmp.png
         73704374 function calls (73633751 primitive calls) in 824.944 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25780    0.066    0.000    0.281    0.000 registry.py:698(_get_dimensionality)
    67747    0.060    0.000    0.103    0.000 util.py:802(__new__)
    74869    0.060    0.000    0.061    0.000 {built-in method _abc._abc_instancecheck}
    72460    0.060    0.000    0.108    0.000 _collections_abc.py:742(__iter__)
    22362    0.060    0.000    0.060    0.000 {method 'match' of 're.Pattern' objects}
6515/4567    0.057    0.000    0.505    0.000 pint_eval.py:105(build_eval_tree)
   216130    0.057    0.000    0.057    0.000 {built-in method builtins.min}
2561/2384    0.057    0.000    1.481    0.001 {built-in method builtins.__build_class__}
    34280    0.057    0.000    0.094    0.000 util.py:458(__copy__)
       62    0.055    0.001    0.056    0.001 {built-in method io.open}
      256    0.054    0.000    0.054    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      407    0.053    0.000    0.053    0.000 {built-in method _ctypes.LoadLibrary}
   125775    0.053    0.000    0.053    0.000 {built-in method __new__ of type object at 0x00007FFBBFAAE890}
18826/17002    0.053    0.000    0.095    0.000 unit.py:35(__init__)
      740    0.053    0.000    0.053    0.000 {method 'read' of '_io.FileIO' objects}
134823/134811    0.052    0.000    0.079    0.000 {built-in method builtins.getattr}
   321670    0.051    0.000    0.051    0.000 {method 'lstrip' of 'str' objects}
    15072    0.050    0.000    0.068    0.000 numeric.py:1335(normalize_axis_tuple)
    36557    0.050    0.000    0.050    0.000 re.py:307(_subx)
    25822    0.050    0.000    0.089    0.000 __init__.py:928(__contains__)
    10453    0.049    0.000    0.281    0.000 registry.py:1096(_parse_units)
    25348    0.048    0.000    0.081    0.000 inspect.py:2460(__init__)
    17707    0.048    0.000    0.438    0.000 compat.py:29(tokenizer)
9820/9274    0.047    0.000    0.297    0.000 inspect.py:2191(_signature_from_callable)
    23827    0.046    0.000    2.054    0.000 quantity.py:107(wrapped)
    13744    0.045    0.000    0.045    0.000 {method 'search' of 're.Pattern' objects}
     4567    0.045    0.000    0.290    0.000 util.py:766(string_preprocessor)
     7536    0.042    0.000    0.131    0.000 numeric.py:1398(moveaxis)
    26998    0.041    0.000    0.298    0.000 util.py:862(to_units_container)
     4567    0.040    0.000    0.134    0.000 tokenize.py:459(tokenize)
    40774    0.040    0.000    0.040    0.000 {method 'expandtabs' of 'str' objects}
    68022    0.040    0.000    0.040    0.000 __init__.py:908(__getitem__)
    25692    0.039    0.000    0.097    0.000 quantity.py:1948(<listcomp>)
      216    0.039    0.000    0.561    0.003 artist.py:1422(get_setters)
    84421    0.039    0.000    0.061    0.000 util.py:398(__iter__)
     8412    0.038    0.000    1.857    0.000 quantity.py:642(to)
    33099    0.038    0.000    0.649    0.000 inspect.py:594(getdoc)
    18213    0.038    0.000    0.179    0.000 re.py:271(_compile)
      240    0.038    0.000    0.928    0.004 util.py:259(<dictcomp>)
   100748    0.038    0.000    0.038    0.000 {method 'get' of 'dict' objects}
     6807    0.038    0.000    0.099    0.000 util.py:494(__truediv__)
     9766    0.037    0.000    0.055    0.000 inspect.py:2743(__init__)
        1    0.037    0.037  819.380  819.380 powder_map_cprofile.py:6(main)
   1398/1    0.037    0.000  824.958  824.958 {built-in method builtins.exec}
     3943    0.037    0.000    1.007    0.000 registry.py:1223(parse_expression)
    46007    0.037    0.000    0.053    0.000 _collections_abc.py:676(items)
      240    0.037    0.000    1.365    0.006 util.py:170(get_reference_data)
     1416    0.036    0.000    0.036    0.000 {built-in method numpy.zeros}
    58321    0.036    0.000    0.036    0.000 {method 'replace' of 'str' objects}
    42515    0.036    0.000    0.036    0.000 {method 'split' of 'str' objects}
