ForceConstants data was loaded
Setting up dimensions...
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 2.212442256582971 1/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 2.2124422565830226 1/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
         58258333 function calls (58192505 primitive calls) in 556.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.119    0.060    0.119    0.060 {method 'encode' of 'ImagingEncoder' objects}
    29180    0.116    0.000    0.116    0.000 {method 'decode' of 'bytes' objects}
3851/2388    0.113    0.000    1.060    0.000 pint_eval.py:105(build_eval_tree)
     2388    0.112    0.000    0.438    0.000 util.py:766(string_preprocessor)
    20460    0.110    0.000    0.163    0.000 util.py:401(__len__)
      240    0.110    0.000  531.402    2.214 powder.py:13(sample_sphere_dos)
    12588    0.104    0.000    0.909    0.000 compat.py:29(tokenizer)
    35371    0.103    0.000    0.103    0.000 sre_parse.py:232(__next)
     1458    0.103    0.000    0.793    0.001 numeric.py:1452(cross)
    37871    0.103    0.000    0.103    0.000 {built-in method builtins.iter}
24371/22429    0.102    0.000    0.248    0.000 {built-in method builtins.issubclass}
     5861    0.099    0.000    0.275    0.000 numerictypes.py:360(issubdtype)
    11722    0.098    0.000    0.153    0.000 numerictypes.py:286(issubclass_)
      244    0.097    0.000    0.172    0.001 util.py:56(is_gamma)
 4495/452    0.094    0.000    0.277    0.001 registry.py:722(_get_dimensionality_recurse)
    22422    0.094    0.000    0.094    0.000 {method 'rfind' of 'str' objects}
    30025    0.093    0.000    0.095    0.000 __init__.py:877(__getitem__)
    12376    0.093    0.000    0.161    0.000 castep.py:553(record_mark_read)
        2    0.091    0.046    0.455    0.227 castep.py:332(read_interpolation_data)
     9843    0.088    0.000    0.212    0.000 __init__.py:894(__contains__)
    17731    0.087    0.000    0.130    0.000 sre_parse.py:171(append)
      712    0.085    0.000    0.085    0.000 {built-in method marshal.loads}
    34262    0.085    0.000    0.085    0.000 inspect.py:2502(name)
