ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 0.8561052618722713 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 14138.67479339701 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
         120478145 function calls (120400695 primitive calls) in 975.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      287    0.221    0.001    0.233    0.001 {built-in method io.open}
    25692    0.221    0.000    1.054    0.000 quantity.py:1945(_get_non_multiplicative_units)
    32228    0.221    0.000    1.132    0.000 registry.py:341(UnitsContainer)
    38975    0.220    0.000    0.319    0.000 definitions.py:118(is_multiplicative)
    32534    0.215    0.000    0.329    0.000 posixpath.py:41(_get_sep)
     4567    0.215    0.000    0.809    0.000 util.py:766(string_preprocessor)
    25692    0.213    0.000    0.635    0.000 quantity.py:1948(<listcomp>)
    78198    0.207    0.000    0.207    0.000 compat.py:178(is_upcast_type)
    68024    0.206    0.000    0.208    0.000 __init__.py:877(__getitem__)
    73561    0.202    0.000    0.202    0.000 quantity.py:179(force_ndarray)
    25825    0.194    0.000    0.339    0.000 util.py:812(_check)
    73561    0.193    0.000    0.193    0.000 quantity.py:183(force_ndarray_like)
    14836    0.192    0.000    1.061    0.000 util.py:660(__eq__)
6515/4567    0.190    0.000    1.805    0.000 pint_eval.py:105(build_eval_tree)
    22274    0.188    0.000    1.552    0.000 compat.py:29(tokenizer)
44512/44500    0.185    0.000    1.475    0.000 {built-in method _operator.mul}
    34078    0.183    0.000    0.673    0.000 util.py:348(copy)
    26998    0.181    0.000    1.757    0.000 util.py:862(to_units_container)
     6053    0.179    0.000    5.565    0.001 registry.py:1791(_convert)
    12106    0.179    0.000    1.308    0.000 registry.py:1349(_validate_and_extract)
        2    0.175    0.088    0.626    0.313 force_constants.py:1530(_calculate_supercell_images)
        2    0.172    0.086  965.705  482.852 powder_map.py:59(main)
     2430    0.171    0.000    1.248    0.001 numeric.py:1452(cross)
     1415    0.165    0.000    0.165    0.000 {built-in method numpy.zeros}
      358    0.160    0.000    0.320    0.001 doccer.py:177(indentcount_lines)
     6807    0.157    0.000    0.549    0.000 util.py:494(__truediv__)
    30572    0.156    0.000    0.244    0.000 sre_parse.py:253(get)
    12348    0.152    0.000    0.540    0.000 registry.py:1334(_is_multiplicative)
    61024    0.149    0.000    0.149    0.000 inspect.py:2514(kind)
18826/17002    0.148    0.000    0.363    0.000 unit.py:35(__init__)
    51644    0.148    0.000    0.148    0.000 __init__.py:895(<genexpr>)
    25218    0.147    0.000    0.221    0.000 quantity.py:1928(_get_unit_definition)
